"225-0004200              ","    ","OPTO SINGLE AC INPUT                         ","IC-THT  ","DIP     ","0.00001","Active  ","BUY       "
"221-0004201              ","    ","12C,EEPROM,128 BYTES                         ","IC-SMT  ","SOP     ","0.00001","Active  ","BUY       "
"221-0004202              ","    ","8.1,MULTIPLEXER                              ","IC-SMT  ","SOIC    ","0.00001","Active  ","BUY       "
"221-0004203              ","    ","QUAD OPAMP, SINGLE RAIL-RAIL                 ","IC-SMT  ","SOP     ","0.00001","Active  ","BUY       "
"221-0004204              ","    ","DUAL OPAMP,SINGLE RAIL-RAIL                  ","IC-SMT  ","SOP     ","0.00001","Active  ","BUY       "
"221-0004205              ","    ","74HC86D,QUAD,2 INPUT                         ","IC-SMT  ","SOP     ","0.00001","Active  ","BUY       "
"221-0004206              ","    ","LM339D,QUAD,COMPARATOR                       ","IC-SMT  ","SOP     ","0.00001","Active  ","BUY       "
"516-0004207              ","    ","CLIP,2 POSITION,BLACK                        ","JUMPER  ","OTHER   ","0.00001","Active  ","BUY       "
"414-0004208              ","    ","YELLOW                                       ","LED-SMT ","1206    ","0.00001","Active  ","BUY       "
"415-0004209              ","    ","DISPLAY,CA,3 DIGIT,7 SEGMENT                 ","LED-THT ","ALL     ","0.00001","Active  ","BUY       "
"423-0004210              ","    ","Pulse,2:1                                    ","XFMR-THT","OTHER   ","0.00001","Active  ","BUY       "
"418-0004212              ","    ","24VDC,2A,DPDT,SEALED                         ","RELY-THT","DIP     ","0.00001","Active  ","BUY       "
"418-0004213              ","    ","120VAC,5A,DPDT,SEALED                        ","RELY-THT","ALL     ","0.00001","Active  ","BUY       "
"418-0004214              ","    ","24VAC,16A,SPDT,SEALED                        ","RELY-THT","ALL     ","0.00001","Active  ","BUY       "
"105-0004215              ","    ","3.32,3W,1%                                   ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"105-0004216              ","    ","8.25,2W,1%                                   ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"105-0004217              ","    ","12.4,1W,1%                                   ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"101-0004220              ","    ","475 OHM,1/4W,1%                              ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"105-0004221              ","    ","1K,2W,5%                                     ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"101-0004222              ","    ","5.90K,1/8W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004223              ","    ","2.21K,1/4W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004225              ","    ","4.75K,1/8W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004226              ","    ","5.11K,1/8W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004227              ","    ","732 OHM,1/8W,1%                              ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004228              ","    ","3.92K,1/4W,1%                                ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004229              ","    ","124K,1/8W,1%                                 ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004230              ","    ","15K,1/2W,1%                                  ","RES-SMT ","2010    ","0.00001","Active  ","BUY       "
"105-0004231              ","    ","180K,2W,5%                                   ","RES-THT ","AXIAL   ","0.00001","Active  ","BUY       "
"101-0004232              ","    ","3.3M,1/8W,5%                                 ","RES-SMT ","1206    ","0.00001","Active  ","BUY       "
"101-0004234              ","    ","0,1/8W,1%                                    ","RES-SMT ","1206    ","0.0022","Active  ","BUY       "
"421-0004236              ","    ","DUAL,4PST                                    ","SWITCH  ","DIP     ","0.00001","Active  ","BUY       "
"421-0004237              ","    ","PUSHBUTTON, SEALED                           ","SWITCH  ","P-BUTTON","0.00001","Active  ","BUY       "
"211-0004238              ","    ","MMBT3904,NPN,200MA,40V                       ","XSTR-SMT","SOT23   ","0.00001","Active  ","BUY       "
"211-0004239              ","    ","TRANSISTOR,PNP,0.2A,40V                      ","XSTR-SMT","SOT23   ","0.00001","Active  ","BUY       "
"436-0004240              ","    ","STRIP,16 POSITION                            ","TERM    ","OTHER   ","0.00001","Active  ","BUY       "
"436-0004241              ","    ","STRIP,2 POSITION,5.08MM                      ","TERM    ","OTHER   ","0.00001","Active  ","BUY       "
"436-0004242              ","    ","STRIP,3 POSITION                             ","TERM    ","OTHER   ","0.00001","Active  ","BUY       "
